,0_0_0,0_0_1,0_0_2,0_0_3,0_0_4,0_0_5,0_1_0,0_1_1,0_1_2,0_1_3,0_1_4,0_1_5,0_2_0,0_2_1,0_2_2,0_2_3,0_2_4,0_2_5,0_3_0,0_3_1,0_3_2,0_3_3,0_3_4,0_3_5,0_4_0,0_4_1,0_4_2,0_4_3,0_4_4,0_4_5,1_0_0,1_0_1,1_0_2,1_0_3,1_0_4,1_0_5,1_1_0,1_1_1,1_1_2,1_1_3,1_1_4,1_1_5,1_2_0,1_2_1,1_2_2,1_2_3,1_2_4,1_2_5,1_3_0,1_3_1,1_3_2,1_3_3,1_3_4,1_3_5,1_4_0,1_4_1,1_4_2,1_4_3,1_4_4,1_4_5,2_0_0,2_0_1,2_0_2,2_0_3,2_0_4,2_0_5,2_1_0,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_2_0,2_2_1,2_2_2,2_2_3,2_2_4,2_2_5,2_3_0,2_3_1,2_3_2,2_3_3,2_3_4,2_3_5,2_4_0,2_4_1,2_4_2,2_4_3,2_4_4,2_4_5,3_0_0,3_0_1,3_0_2,3_0_3,3_0_4,3_0_5,3_1_0,3_1_1,3_1_2,3_1_3,3_1_4,3_1_5,3_2_0,3_2_1,3_2_2,3_2_3,3_2_4,3_2_5,3_3_0,3_3_1,3_3_2,3_3_3,3_3_4,3_3_5,3_4_0,3_4_1,3_4_2,3_4_3,3_4_4,3_4_5,4_0_0,4_0_1,4_0_2,4_0_3,4_0_4,4_0_5,4_1_0,4_1_1,4_1_2,4_1_3,4_1_4,4_1_5,4_2_0,4_2_1,4_2_2,4_2_3,4_2_4,4_2_5,4_3_0,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,4_4_0,4_4_1,4_4_2,4_4_3,4_4_4,4_4_5
0,0.8,0.0,0.68,0.0,0.0,0.0,0.1,0.84,0.11,0.25,0.12,0.33,0.05,0.09,0.11,0.24,0.12,0.33,0.0,0.0,0.0,0.27,0.63,0.0,0.05,0.07,0.11,0.24,0.12,0.33,0.26,0.0,0.26,0.0,0.0,0.0,0.52,0.96,0.49,0.59,0.5,0.77,0.11,0.02,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.15,0.25,0.0,0.11,0.02,0.12,0.13,0.12,0.12,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.18,0.12,0.14,0.12,0.19,0.57,0.67,0.5,0.57,0.5,0.65,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.14,0.12,0.14,0.12,0.16,0.29,0.0,0.63,0.0,0.0,0.0,0.24,0.81,0.12,0.09,0.11,0.33,0.24,0.09,0.12,0.07,0.11,0.33,0.0,0.0,0.0,0.77,0.66,0.0,0.24,0.1,0.12,0.07,0.11,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.19,0.12,0.14,0.12,0.18,0.14,0.15,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.65,0.5,0.57,0.5,0.66
1,0.8,0.0,0.68,0.0,0.0,0.0,0.09,0.82,0.11,0.23,0.12,0.33,0.05,0.1,0.11,0.22,0.12,0.33,0.0,0.0,0.0,0.34,0.63,0.0,0.05,0.08,0.11,0.22,0.12,0.33,0.22,0.0,0.26,0.0,0.0,0.0,0.54,0.96,0.49,0.53,0.49,0.76,0.12,0.02,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.23,0.26,0.0,0.12,0.02,0.12,0.12,0.12,0.12,0.15,0.0,0.25,0.0,0.0,0.0,0.14,0.18,0.12,0.14,0.12,0.19,0.57,0.67,0.5,0.57,0.5,0.66,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.15,0.12,0.14,0.12,0.16,0.32,0.0,0.63,0.0,0.0,0.0,0.23,0.78,0.12,0.08,0.12,0.33,0.22,0.1,0.12,0.06,0.12,0.33,0.0,0.0,0.0,0.8,0.65,0.0,0.22,0.12,0.12,0.06,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.18,0.12,0.14,0.12,0.18,0.14,0.16,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.66,0.5,0.57,0.5,0.66
2,0.85,0.0,0.68,0.0,0.0,0.0,0.06,0.75,0.11,0.25,0.12,0.33,0.04,0.15,0.11,0.25,0.12,0.33,0.0,0.0,0.0,0.25,0.63,0.0,0.04,0.09,0.11,0.25,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.62,0.96,0.5,0.61,0.5,0.76,0.12,0.02,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.13,0.25,0.0,0.12,0.02,0.12,0.13,0.12,0.12,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.2,0.12,0.14,0.12,0.19,0.57,0.66,0.5,0.57,0.5,0.65,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.14,0.12,0.14,0.12,0.15,0.26,0.0,0.63,0.0,0.0,0.0,0.25,0.73,0.12,0.06,0.11,0.33,0.25,0.12,0.12,0.06,0.11,0.33,0.0,0.0,0.0,0.82,0.66,0.0,0.25,0.15,0.12,0.06,0.11,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.19,0.12,0.14,0.12,0.19,0.14,0.15,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.66,0.5,0.57,0.5,0.66
3,0.77,0.0,0.67,0.0,0.0,0.0,0.1,0.82,0.11,0.23,0.12,0.33,0.07,0.1,0.11,0.22,0.12,0.33,0.0,0.0,0.0,0.34,0.63,0.0,0.07,0.08,0.11,0.22,0.12,0.33,0.13,0.0,0.25,0.0,0.0,0.0,0.6,0.96,0.5,0.57,0.5,0.75,0.13,0.02,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.16,0.25,0.0,0.13,0.02,0.12,0.13,0.12,0.12,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.19,0.12,0.14,0.12,0.21,0.57,0.67,0.5,0.57,0.5,0.64,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.15,0.12,0.14,0.12,0.16,0.29,0.0,0.63,0.0,0.0,0.0,0.24,0.81,0.12,0.11,0.12,0.33,0.24,0.08,0.12,0.08,0.12,0.33,0.0,0.0,0.0,0.72,0.65,0.0,0.24,0.1,0.12,0.08,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.21,0.12,0.14,0.12,0.18,0.14,0.16,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.64,0.5,0.57,0.5,0.66
4,0.89,0.0,0.67,0.0,0.0,0.0,0.04,0.67,0.11,0.19,0.12,0.33,0.04,0.18,0.11,0.19,0.12,0.33,0.0,0.0,0.0,0.44,0.63,0.0,0.04,0.16,0.11,0.19,0.12,0.33,0.34,0.0,0.27,0.0,0.0,0.0,0.48,0.96,0.49,0.54,0.5,0.75,0.09,0.02,0.12,0.11,0.12,0.13,0.0,0.0,0.0,0.24,0.26,0.0,0.09,0.02,0.12,0.11,0.12,0.12,0.17,0.0,0.25,0.0,0.0,0.0,0.14,0.18,0.12,0.14,0.12,0.17,0.56,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.16,0.3,0.0,0.63,0.0,0.0,0.0,0.23,0.67,0.12,0.05,0.11,0.33,0.23,0.16,0.12,0.05,0.11,0.33,0.0,0.0,0.0,0.85,0.66,0.0,0.23,0.16,0.12,0.05,0.11,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.15,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.15,0.25,0.0,0.57,0.68,0.5,0.57,0.5,0.67
5,0.85,0.0,0.66,0.0,0.0,0.0,0.06,0.71,0.11,0.25,0.12,0.33,0.05,0.16,0.11,0.25,0.12,0.33,0.0,0.0,0.0,0.25,0.63,0.0,0.05,0.13,0.11,0.25,0.12,0.33,0.24,0.0,0.25,0.0,0.0,0.0,0.54,0.95,0.5,0.6,0.5,0.74,0.11,0.03,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.15,0.25,0.0,0.11,0.02,0.12,0.13,0.12,0.13,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.19,0.12,0.14,0.12,0.17,0.57,0.66,0.5,0.57,0.5,0.68,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.15,0.12,0.14,0.12,0.16,0.35,0.0,0.63,0.0,0.0,0.0,0.22,0.66,0.12,0.06,0.12,0.33,0.22,0.17,0.12,0.06,0.12,0.33,0.0,0.0,0.0,0.82,0.65,0.0,0.22,0.18,0.12,0.06,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.18,0.14,0.16,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.66
6,0.79,0.0,0.66,0.0,0.0,0.0,0.08,0.74,0.11,0.25,0.12,0.33,0.07,0.16,0.11,0.25,0.12,0.33,0.0,0.0,0.0,0.25,0.63,0.0,0.07,0.1,0.11,0.25,0.12,0.33,0.17,0.0,0.25,0.0,0.0,0.0,0.58,0.93,0.5,0.56,0.5,0.73,0.12,0.03,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.18,0.25,0.0,0.12,0.03,0.12,0.13,0.12,0.14,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.21,0.12,0.14,0.12,0.2,0.57,0.64,0.5,0.57,0.5,0.64,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.15,0.12,0.14,0.12,0.16,0.25,0.0,0.63,0.0,0.0,0.0,0.25,0.69,0.12,0.09,0.12,0.33,0.25,0.13,0.12,0.08,0.12,0.33,0.0,0.0,0.0,0.74,0.64,0.0,0.25,0.18,0.12,0.08,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.2,0.12,0.14,0.12,0.18,0.14,0.16,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.64,0.5,0.57,0.5,0.65
7,0.72,0.0,0.64,0.0,0.0,0.0,0.1,0.63,0.12,0.25,0.12,0.33,0.09,0.19,0.12,0.25,0.12,0.33,0.0,0.0,0.0,0.25,0.62,0.0,0.09,0.18,0.12,0.25,0.12,0.33,0.15,0.0,0.25,0.0,0.0,0.0,0.57,0.86,0.5,0.54,0.5,0.69,0.14,0.07,0.12,0.13,0.12,0.15,0.0,0.0,0.0,0.2,0.26,0.0,0.14,0.07,0.12,0.13,0.12,0.16,0.15,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.66,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.16,0.25,0.0,0.62,0.0,0.0,0.0,0.25,0.56,0.12,0.13,0.12,0.33,0.25,0.21,0.12,0.12,0.12,0.33,0.0,0.0,0.0,0.63,0.63,0.0,0.25,0.23,0.12,0.12,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.18,0.12,0.14,0.12,0.17,0.14,0.16,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.15,0.25,0.0,0.57,0.66,0.5,0.57,0.5,0.66
8,0.66,0.0,0.63,0.0,0.0,0.0,0.11,0.33,0.12,0.24,0.12,0.33,0.11,0.33,0.12,0.24,0.12,0.33,0.0,0.0,0.0,0.29,0.63,0.0,0.11,0.33,0.12,0.24,0.12,0.33,0.15,0.0,0.25,0.0,0.0,0.0,0.57,0.84,0.5,0.58,0.5,0.68,0.14,0.08,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.08,0.12,0.14,0.12,0.16,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.16,0.12,0.14,0.12,0.16,0.57,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.17,0.12,0.14,0.12,0.16,0.25,0.0,0.62,0.0,0.0,0.0,0.25,0.33,0.12,0.12,0.12,0.33,0.25,0.33,0.12,0.12,0.12,0.33,0.0,0.0,0.0,0.64,0.63,0.0,0.25,0.34,0.12,0.12,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.16,0.12,0.14,0.12,0.17,0.14,0.16,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
9,0.67,0.0,0.63,0.0,0.0,0.0,0.12,0.64,0.12,0.23,0.12,0.33,0.11,0.18,0.12,0.22,0.12,0.33,0.0,0.0,0.0,0.33,0.63,0.0,0.11,0.18,0.12,0.22,0.12,0.33,0.18,0.0,0.25,0.0,0.0,0.0,0.55,0.86,0.5,0.58,0.5,0.69,0.13,0.07,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.13,0.07,0.12,0.14,0.12,0.15,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.18,0.12,0.14,0.12,0.17,0.57,0.66,0.5,0.57,0.5,0.66,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.16,0.25,0.0,0.63,0.0,0.0,0.0,0.25,0.56,0.12,0.12,0.12,0.33,0.25,0.22,0.12,0.12,0.12,0.33,0.0,0.0,0.0,0.64,0.63,0.0,0.25,0.22,0.12,0.12,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.16,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.66,0.5,0.57,0.5,0.67
