# agents,data_points,scores
0.000000000000000000e+00,4.900000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,4.900000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,4.900000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,4.900000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,4.900000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,1.350000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,1.350000000000000000e+02,1.000000000000000000e+00
2.000000000000000000e+00,1.350000000000000000e+02,nan
3.000000000000000000e+00,1.350000000000000000e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.350000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,1.900000000000000000e+02,-1.000000000000000000e+00
2.000000000000000000e+00,1.900000000000000000e+02,0.000000000000000000e+00
3.000000000000000000e+00,1.900000000000000000e+02,0.000000000000000000e+00
4.000000000000000000e+00,1.900000000000000000e+02,1.000000000000000000e+00
0.000000000000000000e+00,1.090000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+00,1.090000000000000000e+02,1.000000000000000000e+00
2.000000000000000000e+00,1.090000000000000000e+02,1.000000000000000000e+00
3.000000000000000000e+00,1.090000000000000000e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.090000000000000000e+02,-1.000000000000000000e+00
0.000000000000000000e+00,1.080000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+00,1.080000000000000000e+02,-1.000000000000000000e+00
2.000000000000000000e+00,1.080000000000000000e+02,1.000000000000000000e+00
3.000000000000000000e+00,1.080000000000000000e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.080000000000000000e+02,1.000000000000000000e+00
0.000000000000000000e+00,1.420000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+00,1.420000000000000000e+02,-1.000000000000000000e+00
2.000000000000000000e+00,1.420000000000000000e+02,1.000000000000000000e+00
3.000000000000000000e+00,1.420000000000000000e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.420000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.180000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,1.180000000000000000e+02,1.000000000000000000e+00
2.000000000000000000e+00,1.180000000000000000e+02,0.000000000000000000e+00
3.000000000000000000e+00,1.180000000000000000e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.180000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,4.200000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,4.200000000000000000e+01,nan
3.000000000000000000e+00,4.200000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,4.200000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,6.100000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,6.100000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,6.100000000000000000e+01,nan
3.000000000000000000e+00,6.100000000000000000e+01,nan
4.000000000000000000e+00,6.100000000000000000e+01,nan
0.000000000000000000e+00,1.790000000000000000e+02,-1.000000000000000000e+00
1.000000000000000000e+00,1.790000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+00,1.790000000000000000e+02,1.000000000000000000e+00
3.000000000000000000e+00,1.790000000000000000e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.790000000000000000e+02,1.000000000000000000e+00
0.000000000000000000e+00,1.570000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+00,1.570000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+00,1.570000000000000000e+02,1.000000000000000000e+00
3.000000000000000000e+00,1.570000000000000000e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.570000000000000000e+02,1.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+01,nan
1.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,3.300000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,3.300000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,3.300000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,3.300000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00
0.000000000000000000e+00,6.900000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,6.900000000000000000e+01,nan
2.000000000000000000e+00,6.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,6.900000000000000000e+01,nan
4.000000000000000000e+00,6.900000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,1.920000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,1.920000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+00,1.920000000000000000e+02,0.000000000000000000e+00
3.000000000000000000e+00,1.920000000000000000e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.920000000000000000e+02,1.000000000000000000e+00
0.000000000000000000e+00,1.410000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,1.410000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+00,1.410000000000000000e+02,0.000000000000000000e+00
3.000000000000000000e+00,1.410000000000000000e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.410000000000000000e+02,nan
0.000000000000000000e+00,1.980000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+00,1.980000000000000000e+02,-1.000000000000000000e+00
2.000000000000000000e+00,1.980000000000000000e+02,0.000000000000000000e+00
3.000000000000000000e+00,1.980000000000000000e+02,0.000000000000000000e+00
4.000000000000000000e+00,1.980000000000000000e+02,-1.000000000000000000e+00
